country,site_code,survey,indicator_full,indicator_condensed,survey_question_code,full_question,response_options
Brazil,PCVERDE,Community Support,Attitude - TURF,Attitude,23_do_you_find_it_important_to_have_an_area_without_fishing_asp_for_aggregation_or_reproduction_of_lobster_within_the_resex_prainha_do_canto_verde,23-Do you find it important to have an Area without Fishing (ASP) for aggregation or reproduction of Lobster within the Resex Prainha do Canto Verde?,[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Community Support,Attitude - Enforcement,Attitude,26_do_you_believe_that_surveillance_at_sea_prevents_or_decreases_long_term_illegal_fishing_within_resex,26-Do you believe that surveillance at sea prevents or decreases long-term illegal fishing within Resex?,[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Community Support,Attitude - TURF,Attitude,27_do_you_think_that_using_the_garajaus_handmade_attractors_adequately_will_the_long_term_fish_stock_be_stabilized,27-Do you think that using the Garajaus (handmade attractors) adequately will the long-term fish stock be stabilized?,[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Community Support,Attitude - TURF,Attitude,28_do_you_believe_that_having_a_closed_species_cavala_ariac_______guarajuba_robalo_and_serra_and_being_respected_helps_stabilize_the_fish_stocks_of_resex,"28-Do you believe that having a closed species, Cavala, Ariacó, Guarajuba, Robalo and Serra and being respected helps stabilize the fish stocks of Resex?",[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Community Support,Attitude - TURF,Attitude,29_do_you_think_it_important_to_define_an_area_to_organize_the_garajaus_artisan_attractors_to_avoid_harming_other_types_of_fishing,29-Do you think it important to define an area to organize the Garajaus (Artisan Attractors) to avoid harming other types of fishing?,[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Community Support,Attitude - TURF,Attitude,30_do_you_believe_that_an_area_without_fishing_asp_in_the_resex_of_prainha_do_canto_verde_can_increase_the_stock_of_lobster,30-Do you believe that an area without fishing (ASP) in the Resex of Prainha do Canto Verde can increase the stock of Lobster?,[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Community Support,Communication - Enforcement,Communication,32_you_are_arguing_with_other_fishermen_about_the_importance_of_doing_surveillance_at_sea,32 -You are arguing with other fishermen about the importance of doing Surveillance at Sea,[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Community Support,Communication - TURF,Communication,34_are_you_anglers_arguing_over_the_replacement_of_the_old_cars_tires_and_old_stoves_by_garajaus_craft_attractors_and_your_organization_at_sea,"34-Are you anglers arguing over the replacement of the Old Cars, Tires and Old Stoves by Garajaus (Craft Attractors) and your organization at sea?",[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Community Support,Communication - TURF,Communication,35_are_you_discussing_with_other_fishermen_about_the_species_of_cavala_ariac_______guarajuba_robalo_and_serra,"35-Are you discussing with other fishermen about the species of Cavala, Ariacó, Guarajuba, Robalo and Serra?",[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Community Support,Communication - TURF,Communication,36_are_you_and_other_fishermen_debating_a_non_fishing_area_asp_proposal_and_its_benefits_in_meetings,36-Are you and other fishermen debating a non-fishing Area (ASP) proposal and its benefits in meetings?,[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Community Support,Communication - Catch Reporting,Communication,37_do_you_know_if_fishermen_talk_about_how_to_do_contribute_and_the_importance_of_monitoring_to_stabilize_or_recover_fish_stocks,"37-Do you know if fishermen talk about how to do, contribute and the importance of monitoring to stabilize or recover fish stocks?",[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Community Support,Communication - Catch Reporting,Communication,38_do_you_know_if_the_fishermen_talk_about_the_way_and_practice_of_how_to_do_the_monitoring,38-Do you know if the fishermen talk about the way and practice of how to do the monitoring?,[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Community Support,Knowledge - TURF,Knowledge,22_do_you_know_what_is_an_area_without_fishing_asp_aggregation_or_reproduction_of_the_lobster_within_the_resale_prainha_do_canto_verde,22-DO YOU KNOW WHAT IS AN AREA WITHOUT FISHING (ASP) AGGREGATION OR REPRODUCTION OF THE LOBSTER WITHIN THE RESALE PRAINHA DO CANTO VERDE?,[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Community Support,Knowledge - Catch Reporting,Knowledge,24_do_you_know_and_know_how_to_do_the_monitoring,24-Do you know and know how to do the monitoring?,[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Community Support,Knowledge - TURF,Knowledge,43_do_you_know_the_limits_of_the_area_without_fishing_asp_for_lobster_in_the_resale_prainha_of_canto_verde,43-DO YOU KNOW THE LIMITS OF THE AREA WITHOUT FISHING (ASP) FOR LOBSTER IN THE RESALE PRAINHA OF CANTO VERDE?,[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Sustainable Fishing Practices,BC - Enforcement,Enforcement,39_do_you_do_or_practice_surveillance_at_the_sea_in_the_area_of_resex_prainha_do_canto_verde,39-Do you do or practice Surveillance at the Sea in the area of ​​Resex Prainha do Canto Verde?,[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Sustainable Fishing Practices,BC - TURF Compliance,TURF Compliance,40_are_you_changing_old_cars_cooks_tires_by_garajaus_artisan_trackers,"40-ARE YOU CHANGING OLD CARS, COOKS, TIRES BY GARAJAUS (ARTISAN TRACKERS)?",[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Sustainable Fishing Practices,BC - Management Participation,Management Participation,41_do_you_participate_in_the_meetings_to_organize_the_garajaus_craft_attractors_in_the_sea_in_the_fishing_area_of_resex_prainha_do_canto_verde,41-Do you participate in the meetings to organize the Garajaus (Craft Attractors) in the Sea in the fishing area of ​​Resex Prainha do Canto Verde?,[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Sustainable Fishing Practices,BC - TURF Compliance,TURF Compliance,44_do_you_respect_the_area_without_fishing_asp_defined_for_aggregation_or_reproduction_of_lobster_in_the_resex_of_prainha_do_canto_verde,44-Do you respect the Area without Fishing (ASP) defined for Aggregation or Reproduction of Lobster in the Resex of Prainha do Canto Verde?,[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Sustainable Fishing Practices,BC - TURF Compliance,TURF Compliance,45_do_you_participate_in_the_monitoring_of_the_species_lagosta_cavala_ariac_______robalo_garajuba_and_serra_in_resex_prainha_canto_verde,"45-Do you participate in the monitoring of the species Lagosta, Cavala, Ariacó, Robalo, Garajuba and Serra in Resex Prainha Canto Verde?",[ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Sustainable Fishing Practices,BC - Management Participation,Management Participation,49_governance_and_fishing_participation_do_you_or_someone_in_your_house_be_an_active_member_of_the_deliberative_council,49-GOVERNANCE AND FISHING PARTICIPATION => DO YOU OR SOMEONE IN YOUR HOUSE BE AN ACTIVE MEMBER OF THE DELIBERATIVE COUNCIL?,[ ] Yes [ ] No [ ] No Answer
Brazil,PIRAJUB,Community Support,Attitude - TURF,Attitude,4_do_you_believe_that_your_participation_in_pirajuba_resex_activities_can_have_a_direct_effect_on_your_life,4-DO YOU BELIEVE THAT YOUR PARTICIPATION IN PIRAJUBA RESEX ACTIVITIES CAN HAVE A DIRECT EFFECT ON YOUR LIFE?,[ ] Yes [ ] No [ ] No Answer
Brazil,PIRAJUB,Community Support,Knowledge - Enforcement,Knowledge,21_do_you_know_what_community_fisheries_surveillance_is,21-Do you know what community fisheries surveillance is?,[ ] Yes [ ] No [ ] No Answer
Brazil,PIRAJUB,Community Support,Knowledge - TURF,Knowledge,22_do_you_know_the_results_of_gravel_cleaning,22-Do you know the results of Gravel Cleaning?,[ ] Yes [ ] No [ ] No Answer
Brazil,PIRAJUB,Community Support,Knowledge - TURF,Knowledge,23_do_you_know_what_to_do_to_take_care_of_the_cockles,23-Do you know what to do to take care of the cockles?,[ ] Yes [ ] No [ ] No Answer
Brazil,PIRAJUB,Sustainable Fishing Practices,BC - Management Participation,Management Participation,44_do_you_participate_in_or_attend_meetings_to_review_portaria_187,44-Do you participate in or attend meetings to review Portaria 187?,[ ] Yes [ ] No [ ] No Answer
Brazil,PIRAJUB,Sustainable Fishing Practices,BC - Catch Reporting,Catch Reporting,45_do_you_participate_in_the_research_project_for_monitoring_and_recovery_of_the_cockle_with_the_activity_of_cleaning_the_gravel,"45-Do you participate in the research project for monitoring and recovery of the cockle, with the activity of cleaning the gravel?",[ ] Yes [ ] No [ ] No Answer
Brazil,PIRAJUB,Sustainable Fishing Practices,BC - Management Participation,Management Participation,participate_in_resex_activity_last_12_months,Participate in Resex activity last 12 months?,[ ] Yes [ ] No [ ] No Answer
Brazil,BIGUAPE,Sustainable Livelihoods,Livelihood Stability,Livelihood Stability,it_is_easy_for_me_and_members_of_my_family_to_find_employment_to_sustain_the_family_converted,It is EASY FOR ME AND MEMBERS OF MY FAMILY TO FIND EMPLOYMENT TO SUSTAIN THE FAMILY,"With statement: strongly agree, agree, indifferent, disagree, strongly disagree"
Brazil,CANAVIE,Sustainable Livelihoods,Livelihood Stability,Livelihood Stability,it_is_easy_for_me_and_members_of_my_family_to_find_employment_to_sustain_the_family_converted,It is EASY FOR ME AND MEMBERS OF MY FAMILY TO FIND EMPLOYMENT TO SUSTAIN THE FAMILY,"With statement: strongly agree, agree, indifferent, disagree, strongly disagree"
Brazil,CURURUP,Sustainable Livelihoods,Livelihood Stability,Livelihood Stability,it_is_easy_for_me_and_members_of_my_family_to_find_employment_to_sustain_the_family_converted,It is EASY FOR ME AND MEMBERS OF MY FAMILY TO FIND EMPLOYMENT TO SUSTAIN THE FAMILY,"With statement: strongly agree, agree, indifferent, disagree, strongly disagree"
Brazil,PARNAIB,Sustainable Livelihoods,Livelihood Stability,Livelihood Stability,it_is_easy_for_me_and_members_of_my_family_to_find_employment_to_sustain_the_family_converted,It is EASY FOR ME AND MEMBERS OF MY FAMILY TO FIND EMPLOYMENT TO SUSTAIN THE FAMILY,"With statement: strongly agree, agree, indifferent, disagree, strongly disagree"
Brazil,PCVERDE,Sustainable Livelihoods,Livelihood Stability,Livelihood Stability,it_is_easy_for_me_and_members_of_my_family_to_find_employment_to_sustain_the_family_converted,It is EASY FOR ME AND MEMBERS OF MY FAMILY TO FIND EMPLOYMENT TO SUSTAIN THE FAMILY,"With statement: strongly agree, agree, indifferent, disagree, strongly disagree"
Brazil,PIRAJUB,Sustainable Livelihoods,Livelihood Stability,Livelihood Stability,it_is_easy_for_me_and_members_of_my_family_to_find_employment_to_sustain_the_family_converted,It is EASY FOR ME AND MEMBERS OF MY FAMILY TO FIND EMPLOYMENT TO SUSTAIN THE FAMILY,"With statement: strongly agree, agree, indifferent, disagree, strongly disagree"
Brazil,BIGUAPE,Sustainable Livelihoods,Political Trust,Political Trust,i_am_confident_that_the_deliberative_council_will_make_the_right_decisions_on_how_to_manage_our_fisheries,I am confident that the Deliberative Council will make the right decisions on how to manage [our fisheries].,"1-10 scale of agreement with statement, 10 best"
Brazil,CANAVIE,Sustainable Livelihoods,Political Trust,Political Trust,i_am_confident_that_the_deliberative_council_will_make_the_right_decisions_on_how_to_manage_our_fisheries,I am confident that the Deliberative Council will make the right decisions on how to manage [our fisheries].,"1-10 scale of agreement with statement, 10 best"
Brazil,CURURUP,Sustainable Livelihoods,Political Trust,Political Trust,i_am_confident_that_the_deliberative_council_will_make_the_right_decisions_on_how_to_manage_our_fisheries,I am confident that the Deliberative Council will make the right decisions on how to manage [our fisheries].,"1-10 scale of agreement with statement, 10 best"
Brazil,PARNAIB,Sustainable Livelihoods,Political Trust,Political Trust,i_am_confident_that_the_deliberative_council_will_make_the_right_decisions_on_how_to_manage_our_fisheries,I am confident that the Deliberative Council will make the right decisions on how to manage [our fisheries].,"1-10 scale of agreement with statement, 10 best"
Brazil,PCVERDE,Sustainable Livelihoods,Political Trust,Political Trust,i_am_confident_that_the_deliberative_council_will_make_the_right_decisions_on_how_to_manage_our_fisheries,I am confident that the Deliberative Council will make the right decisions on how to manage [our fisheries].,"1-10 scale of agreement with statement, 10 best"
Brazil,PIRAJUB,Sustainable Livelihoods,Political Trust,Political Trust,i_am_confident_that_the_deliberative_council_will_make_the_right_decisions_on_how_to_manage_our_fisheries,I am confident that the Deliberative Council will make the right decisions on how to manage [our fisheries].,"1-10 scale of agreement with statement, 10 best"
Brazil,BIGUAPE,Sustainable Livelihoods,Collective Efficacy,Collective Efficacy,my_community_has_the_ability_to_collectively_manage_sustainably_our_fishing_so_that_we_can_benefit_in_the_future,MY COMMUNITY HAS THE ABILITY TO collectively MANAGE SUSTAINABLY [OUR FISHING] SO THAT WE CAN BENEFIT IN THE FUTURE?,"1-10 scale of agreement with statement, 10 best"
Brazil,CANAVIE,Sustainable Livelihoods,Collective Efficacy,Collective Efficacy,my_community_has_the_ability_to_collectively_manage_sustainably_our_fishing_so_that_we_can_benefit_in_the_future,MY COMMUNITY HAS THE ABILITY TO collectively MANAGE SUSTAINABLY [OUR FISHING] SO THAT WE CAN BENEFIT IN THE FUTURE?,"1-10 scale of agreement with statement, 10 best"
Brazil,CURURUP,Sustainable Livelihoods,Collective Efficacy,Collective Efficacy,my_community_has_the_ability_to_collectively_manage_sustainably_our_fishing_so_that_we_can_benefit_in_the_future,MY COMMUNITY HAS THE ABILITY TO collectively MANAGE SUSTAINABLY [OUR FISHING] SO THAT WE CAN BENEFIT IN THE FUTURE?,"1-10 scale of agreement with statement, 10 best"
Brazil,PARNAIB,Sustainable Livelihoods,Collective Efficacy,Collective Efficacy,my_community_has_the_ability_to_collectively_manage_sustainably_our_fishing_so_that_we_can_benefit_in_the_future,MY COMMUNITY HAS THE ABILITY TO collectively MANAGE SUSTAINABLY [OUR FISHING] SO THAT WE CAN BENEFIT IN THE FUTURE?,"1-10 scale of agreement with statement, 10 best"
Brazil,PCVERDE,Sustainable Livelihoods,Collective Efficacy,Collective Efficacy,my_community_has_the_ability_to_collectively_manage_sustainably_our_fishing_so_that_we_can_benefit_in_the_future,MY COMMUNITY HAS THE ABILITY TO collectively MANAGE SUSTAINABLY [OUR FISHING] SO THAT WE CAN BENEFIT IN THE FUTURE?,"1-10 scale of agreement with statement, 10 best"
Brazil,PIRAJUB,Sustainable Livelihoods,Collective Efficacy,Collective Efficacy,my_community_has_the_ability_to_collectively_manage_sustainably_our_fishing_so_that_we_can_benefit_in_the_future,MY COMMUNITY HAS THE ABILITY TO collectively MANAGE SUSTAINABLY [OUR FISHING] SO THAT WE CAN BENEFIT IN THE FUTURE?,"1-10 scale of agreement with statement, 10 best"
Brazil,BIGUAPE,Sustainable Livelihoods,Social Trust,Social Trust,most_people_in_my_community_will_follow_the_rules_and_regulations_established_for_the_fishing_community,MOST PEOPLE IN [MY COMMUNITY] WILL FOLLOW THE RULES AND REGULATIONS ESTABLISHED FOR [THE FISHING COMMUNITY],"1-10 scale of agreement with statement, 10 best"
Brazil,CANAVIE,Sustainable Livelihoods,Social Trust,Social Trust,most_people_in_my_community_will_follow_the_rules_and_regulations_established_for_the_fishing_community,MOST PEOPLE IN [MY COMMUNITY] WILL FOLLOW THE RULES AND REGULATIONS ESTABLISHED FOR [THE FISHING COMMUNITY],"1-10 scale of agreement with statement, 10 best"
Brazil,CURURUP,Sustainable Livelihoods,Social Trust,Social Trust,most_people_in_my_community_will_follow_the_rules_and_regulations_established_for_the_fishing_community,MOST PEOPLE IN [MY COMMUNITY] WILL FOLLOW THE RULES AND REGULATIONS ESTABLISHED FOR [THE FISHING COMMUNITY],"1-10 scale of agreement with statement, 10 best"
Brazil,PCVERDE,Sustainable Livelihoods,Social Trust,Social Trust,most_people_in_my_community_will_follow_the_rules_and_regulations_established_for_the_fishing_community,MOST PEOPLE IN [MY COMMUNITY] WILL FOLLOW THE RULES AND REGULATIONS ESTABLISHED FOR [THE FISHING COMMUNITY],"1-10 scale of agreement with statement, 10 best"
Brazil,PIRAJUB,Sustainable Livelihoods,Social Trust,Social Trust,most_people_in_my_community_will_follow_the_rules_and_regulations_established_for_the_fishing_community,MOST PEOPLE IN [MY COMMUNITY] WILL FOLLOW THE RULES AND REGULATIONS ESTABLISHED FOR [THE FISHING COMMUNITY],"1-10 scale of agreement with statement, 10 best"
Brazil,BIGUAPE,Sustainable Livelihoods,Social Trust,Social Trust,the_most_people_in_my_community_will_implement_the_rules_and_regulations_of_our_fishery_including_the_communication_of_violations_when_testified,"THE MOST PEOPLE IN [MY COMMUNITY] WILL IMPLEMENT THE RULES AND REGULATIONS OF [OUR FISHERY], INCLUDING THE COMMUNICATION OF VIOLATIONS WHEN TESTIFIED","1-10 scale of agreement with statement, 10 best"
Brazil,CANAVIE,Sustainable Livelihoods,Social Trust,Social Trust,the_most_people_in_my_community_will_implement_the_rules_and_regulations_of_our_fishery_including_the_communication_of_violations_when_testified,"THE MOST PEOPLE IN [MY COMMUNITY] WILL IMPLEMENT THE RULES AND REGULATIONS OF [OUR FISHERY], INCLUDING THE COMMUNICATION OF VIOLATIONS WHEN TESTIFIED","1-10 scale of agreement with statement, 10 best"
Brazil,CURURUP,Sustainable Livelihoods,Social Trust,Social Trust,the_most_people_in_my_community_will_implement_the_rules_and_regulations_of_our_fishery_including_the_communication_of_violations_when_testified,"THE MOST PEOPLE IN [MY COMMUNITY] WILL IMPLEMENT THE RULES AND REGULATIONS OF [OUR FISHERY], INCLUDING THE COMMUNICATION OF VIOLATIONS WHEN TESTIFIED","1-10 scale of agreement with statement, 10 best"
Brazil,PARNAIB,Sustainable Livelihoods,Social Trust,Social Trust,the_most_people_in_my_community_will_implement_the_rules_and_regulations_of_our_fishery_including_the_communication_of_violations_when_testified,"THE MOST PEOPLE IN [MY COMMUNITY] WILL IMPLEMENT THE RULES AND REGULATIONS OF [OUR FISHERY], INCLUDING THE COMMUNICATION OF VIOLATIONS WHEN TESTIFIED","1-10 scale of agreement with statement, 10 best"
Brazil,PCVERDE,Sustainable Livelihoods,Social Trust,Social Trust,the_most_people_in_my_community_will_implement_the_rules_and_regulations_of_our_fishery_including_the_communication_of_violations_when_testified,"THE MOST PEOPLE IN [MY COMMUNITY] WILL IMPLEMENT THE RULES AND REGULATIONS OF [OUR FISHERY], INCLUDING THE COMMUNICATION OF VIOLATIONS WHEN TESTIFIED","1-10 scale of agreement with statement, 10 best"
Brazil,PIRAJUB,Sustainable Livelihoods,Social Trust,Social Trust,the_most_people_in_my_community_will_implement_the_rules_and_regulations_of_our_fishery_including_the_communication_of_violations_when_testified,"THE MOST PEOPLE IN [MY COMMUNITY] WILL IMPLEMENT THE RULES AND REGULATIONS OF [OUR FISHERY], INCLUDING THE COMMUNICATION OF VIOLATIONS WHEN TESTIFIED","1-10 scale of agreement with statement, 10 best"
