Country,Survey,Indicator,Question,Responses
Indonesia,Community Support,Communication - TURF,"(9) In The Last 6 Months, Mr / Ms Talked With Other Fishermen About:(E) Does Not Catch Sunu Size Less Than 35 Cm",[] Yes [] No [] Do not remember
Indonesia,Community Support,Communication - TURF,"(9) In The Last 6 Months, Mr / Ms Talked With Other Fishermen About:(C) Does Not Shoot Fish On 18-28 Hijriah Every Month",[] Yes [] No [] Do not remember
Indonesia,Community Support,Communication - TURF,"(9) In The Last 6 Months, Mr / Ms Talked With Other Fishermen About:(D) Do Not Throw Garbage Into The Sea",[] Yes [] No [] Do not remember
Indonesia,Community Support,Communication - TURF,"For The Statement Below, Please State Your Answer, With ""Yes"", ""No"", Or 'Can Not Remember'(13) In The Last 6 Months, Mr / Ms Spoke With Other Fishermen About:(E) The Size Of The Fish Caught In The Area Of Access Of The Fishery Area",[] Yes [] No [] Do not remember
Indonesia,Community Support,Communication - TURF,"For The Statement Below, Please State Your Answer, With ""Yes"", ""No"", Or 'Can Not Remember'(13) In The Last 6 Months, Mr / Ms Spoke With Other Fishermen About:(F) Types Of Fish That Are Managed And Regulated In The Area Of Fishery Area Access",[] Yes [] No [] Do not remember
Indonesia,Community Support,Communication - TURF,"For The Statement Below, Please State Your Answer, With ""Yes"", ""No"", Or 'Can Not Remember' (11) In The Last 6 Months, I Talked With Fellow Fishermen About: (A) Benefits Gained From The Management Of The Fishery Area Access",[] Yes [] No [] Do not remember
Indonesia,Community Support,Communication - TURF,"(10) Ÿÿ9 In The Last 6 Months, You Talked To Your Fellow Fishermen About: Ÿÿ1(D) Good Fish Size Captured In Paap Location",[] Yes [] No [] Do not remember
Indonesia,Community Support,Communication - TURF,"(9) In The Last 6 Months, Mr / Ms Talked With Other Fishermen About: (B) Does Not Catch Fish In Tourism Utilization Zones",[] Yes [] No [] Do not remember
Indonesia,Community Support,Communication - TURF,"(10) Ÿÿ9 In The Last 6 Months, You Talked To Your Fellow Fishermen About: Ÿÿ1(B) Obedience To The Agreement Applicable At The Paap Location",[] Yes [] No [] Do not remember
Indonesia,Community Support,Communication - TURF,"(10) Ÿÿ9 In The Last 6 Months, You Talked To Your Fellow Fishermen About: Ÿÿ1(C) Appliances Are Allowed To Be Used In Paap Locations",[] Yes [] No [] Do not remember
Indonesia,Community Support,Communication - TURF,"(10) Ÿÿ9 In The Last 6 Months, You Talked To Your Fellow Fishermen About: Ÿÿ1(E) Types Of Fish Managed / Managed At Paap Locations",[] Yes [] No [] Do not remember
Indonesia,Community Support,Communication - TURF,"Here, Please Tell Me Whether 'Easy,' Rather Easy ',' Hesitant ',' Rather Difficult ', Difficult' To Do Things Yourself In This Statement.(12) For Me,(F) Invites Fellow Fishermen To Comply With The Management Rules Of Fisheries Area Access",[] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult
Indonesia,Community Support,Knowledge - Enforcement,"(20) For The Following Statement, Please Choose The One That Best Describes You Right Now","[] I have never been involved in surveillance of the territory of the fisheries access area and have not thought of doing it [] I have never been involved in surveillance of area access areas and thought to find out [] I was thinking of being involved in the monitoring of area access areas, in the near future [] I Has been involved in the supervision of area access areas, less than 6 months [] I have been involved in the supervision of the area of ​​access to the fishing area, within 6 months or more"
Indonesia,Community Support,Knowledge - NTZ,"(A) Based On The Location Of The Above Mentioned Fishing / Fowl, Please Mr / Mrs Choose The Statement That Best Describes You Right Now","[] I do not know the designation rules for this area and do not think to find out [] I do not know the designation rules for this area but have been thinking about finding out [] I am not implementing the designation rules for this area but in the near future I think to do it [] I have followed the designation rules for this area, but only implemented it for less than 6 months [] I have followed the rules of the designation of this area and have done so in 6 months or more"
Indonesia,Community Support,Knowledge - TURF,"(19) For The Following Statement, Please Choose The One That Best Describes You Right Now","[] I do not know the rules about the size of the catch in the area of ​​access area and do not think to find out [] I do not know the catch size rules in the area of ​​access area but in the near future it is thought to find out [] I already know the size of the catch allowed in the region Access area and in the near future think to do it [] I have caught fish with the size of fish catch according to the rules in the area of ​​access area, and have been doing it for less than 6 months [] I have captured the size of the fish according to the rules of area access area and have done it in 6 Months or more"
Indonesia,Community Support,Knowledge - TURF,"(18) For The Following Statement, Please Choose The One That Best Describes You Right Now","[] I do not know the rules about fishing gear allowed in the area of ​​access area and do not think to find out [] I do not know the rules of fishing gear are allowed in the area of ​​access area but in the near future thought to find out [] I already know fishing gear Which is allowed in the area of ​​access area and in the near future it is thought to do it [] I have been using the type of fishing gear according to the rules in the area of ​​access area, for less than 6 months [] I have used the type of fishing gear that match the rules of area access area, 6 months or more"
Indonesia,Community Support,Knowledge - TURF,"(20) For The Following Statement, Please Choose The One That Best Describes You Right Now","[] I do not know the rules of the number of guests / trips allowed in the territory of the fishery area and do not think to find out [] I do not know the rules of the number of guests / trips allowed in the fishery area access area but in the near future it is thought to find out [] I already know the rules of the number of guests / trips allowed in the fishing area access area and in the near future it is thought to do it [] I already know about the number of guests / trips allowed in the fishing area access area, and have done it less than 6 months [] I Already know about the rules of the number of guests / trips allowed in the fishing area access areas and have done so in 6 months or more"
