Country,Survey,Indicator,Question,Responses
Brazil,Community Support,Communication - Catch Reporting,38-Do You Know If The Fishermen Talk About The Way And Practice Of How To Do The Monitoring?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Communication - Enforcement,32 -You Are Arguing With Other Fishermen About The Importance Of Doing Surveillance At Sea,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Communication - TURF,Do You Talk About Protected Areas For Reproduction?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Communication - TURF,28-Do You Participate In Discussions About Areas Without Fishing With Other Fishermen?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Communication - TURF,"34-Are You Anglers Arguing Over The Replacement Of The Old Cars, Tires And Old Stoves By Garajaus (Craft Attractors) And Your Organization At Sea?",[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Communication - TURF,"35-Are You Discussing With Other Fishermen About The Species Of Cavala, Ariacó, Guarajuba, Robalo And Serra?",[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Communication - TURF,36-Are You And Other Fishermen Debating A Non-Fishing Area (Asp) Proposal And Its Benefits In Meetings?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Knowledge - Catch Reporting,21-Today Do You Know How To Fill In A Daily Board?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Knowledge - Catch Reporting,24-Do You Know And Know How To Do The Monitoring?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Knowledge - Enforcement,21-Do You Know What Community Fisheries Surveillance Is?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Knowledge - NTZ,19-Do You Know What Is A Play Area Or Asp (Non-Fishing Area)?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Knowledge - TURF,8-Do You Know What Is The Rotation Of Shellfish Areas?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Knowledge - TURF,Are You Informed Of The Fishing Agreement Concerning The Robalo Catch Size In The Canexian Reserve?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Knowledge - TURF,Do You Know Fishing Regulations For Resex?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Knowledge - TURF,Do You Know Fishing Regulations For Resex?+Ar1,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Knowledge - TURF,Are You Informed On Importance Of Temporary No Take Areas?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Knowledge - TURF,17-Do You Know The Importance Of Regulating A Spawning Period For Yellow Hake?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Knowledge - TURF,29-Do You Know Or Use Any Method Or Gear That Avoids The Capture Of Juvenile Sea Bass?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Knowledge - TURF,22-Do You Know What Is An Area Without Fishing (Asp) Aggregation Or Reproduction Of The Lobster Within The Resale Prainha Do Canto Verde?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Knowledge - TURF,43-Do You Know The Limits Of The Area Without Fishing (Asp) For Lobster In The Resale Prainha Of Canto Verde?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Knowledge - TURF,22-Do You Know The Results Of Gravel Cleaning?,[ ] Yes [ ] No [ ] No Answer
Brazil,Community Support,Knowledge - TURF,23-Do You Know What To Do To Take Care Of The Cockles?,[ ] Yes [ ] No [ ] No Answer
