country,site_code,survey,indicator_condensed,number_questions,questions
Brazil,PCVERDE,Community Support,Attitude,7,"1: [Question: 21-Do you think it is important to replace the Tire, Old Cars, Old Stove, by Garajau (Craft Attractors)?; Response: [ ] Yes [ ] No [ ] No Answer; 2: [Question: 23-Do you find it important to have an Area without Fishing (ASP) for aggregation or reproduction of Lobster within the Resex Prainha do Canto Verde?; Response: [ ] Yes [ ] No [ ] No Answer; 3: [Question: 26-Do you believe that surveillance at sea prevents or decreases long-term illegal fishing within Resex?; Response: [ ] Yes [ ] No [ ] No Answer; 4: [Question: 27-Do you think that using the Garajaus (handmade attractors) adequately will the long-term fish stock be stabilized?; Response: [ ] Yes [ ] No [ ] No Answer; 5: [Question: 28-Do you believe that having a closed species, Cavala, Ariacó, Guarajuba, Robalo and Serra and being respected helps stabilize the fish stocks of Resex?; Response: [ ] Yes [ ] No [ ] No Answer; 6: [Question: 29-Do you think it important to define an area to organize the Garajaus (Artisan Attractors) to avoid harming other types of fishing?; Response: [ ] Yes [ ] No [ ] No Answer; 7: [Question: 30-Do you believe that an area without fishing (ASP) in the Resex of Prainha do Canto Verde can increase the stock of Lobster?; Response: [ ] Yes [ ] No [ ] No Answer"
Brazil,PCVERDE,Community Support,Communication,6,"1: [Question: 32 -You are arguing with other fishermen about the importance of doing Surveillance at Sea; Response: [ ] Yes [ ] No [ ] No Answer; 2: [Question: 34-Are you anglers arguing over the replacement of the Old Cars, Tires and Old Stoves by Garajaus (Craft Attractors) and your organization at sea?; Response: [ ] Yes [ ] No [ ] No Answer; 3: [Question: 35-Are you discussing with other fishermen about the species of Cavala, Ariacó, Guarajuba, Robalo and Serra?; Response: [ ] Yes [ ] No [ ] No Answer; 4: [Question: 36-Are you and other fishermen debating a non-fishing Area (ASP) proposal and its benefits in meetings?; Response: [ ] Yes [ ] No [ ] No Answer; 5: [Question: 37-Do you know if fishermen talk about how to do, contribute and the importance of monitoring to stabilize or recover fish stocks?; Response: [ ] Yes [ ] No [ ] No Answer; 6: [Question: 38-Do you know if the fishermen talk about the way and practice of how to do the monitoring?; Response: [ ] Yes [ ] No [ ] No Answer"
Brazil,PCVERDE,Community Support,Knowledge,3,1: [Question: 22-DO YOU KNOW WHAT IS AN AREA WITHOUT FISHING (ASP) AGGREGATION OR REPRODUCTION OF THE LOBSTER WITHIN THE RESALE PRAINHA DO CANTO VERDE?; Response: [ ] Yes [ ] No [ ] No Answer; 2: [Question: 24-Do you know and know how to do the monitoring?; Response: [ ] Yes [ ] No [ ] No Answer; 3: [Question: 43-DO YOU KNOW THE LIMITS OF THE AREA WITHOUT FISHING (ASP) FOR LOBSTER IN THE RESALE PRAINHA OF CANTO VERDE?; Response: [ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Sustainable Fishing Practices,Management Participation,2,1: [Question: 41-Do you participate in the meetings to organize the Garajaus (Craft Attractors) in the Sea in the fishing area of ​​Resex Prainha do Canto Verde?; Response: [ ] Yes [ ] No [ ] No Answer; 2: [Question: 49-GOVERNANCE AND FISHING PARTICIPATION => DO YOU OR SOMEONE IN YOUR HOUSE BE AN ACTIVE MEMBER OF THE DELIBERATIVE COUNCIL?; Response: [ ] Yes [ ] No [ ] No Answer
Brazil,PCVERDE,Sustainable Fishing Practices,TURF Compliance,3,"1: [Question: 40-ARE YOU CHANGING OLD CARS, COOKS, TIRES BY GARAJAUS (ARTISAN TRACKERS)?; Response: [ ] Yes [ ] No [ ] No Answer; 2: [Question: 44-Do you respect the Area without Fishing (ASP) defined for Aggregation or Reproduction of Lobster in the Resex of Prainha do Canto Verde?; Response: [ ] Yes [ ] No [ ] No Answer; 3: [Question: 45-Do you participate in the monitoring of the species Lagosta, Cavala, Ariacó, Robalo, Garajuba and Serra in Resex Prainha Canto Verde?; Response: [ ] Yes [ ] No [ ] No Answer"
Brazil,PCVERDE,Sustainable Livelihoods,Livelihood Stability,2,"1: [Question: It is EASY FOR ME AND MEMBERS OF MY FAMILY TO FIND EMPLOYMENT TO SUSTAIN THE FAMILY; Response: With statement: strongly agree, agree, indifferent, disagree, strongly disagree; 2: [Question: 46- Compared to 5 years ago, the quality and stability of employment for the family:; Response: improved, improved somewhat, remained the same, worsened somewhat, worsened"
Brazil,PCVERDE,Sustainable Livelihoods,Political Trust,2,"1: [Question: I am confident that the Deliberative Council will make the right decisions on how to manage [our fisheries].; Response: 1-10 scale of agreement with statement, 10 best; 2: [Question: Generally, WE HAVE CONFIDENCE THAT THE ICMBIO CAN TAKE DECISIONS FOR BETTER INTEREST OF [OUR COMMUNITY]; Response: 1-5 scale of agreement with statement, 5 best"
Brazil,PCVERDE,Sustainable Livelihoods,Social Trust,3,"1: [Question: MOST PEOPLE IN [MY COMMUNITY] WILL FOLLOW THE RULES AND REGULATIONS ESTABLISHED FOR [THE FISHING COMMUNITY]; Response: 1-10 scale of agreement with statement, 10 best; 2: [Question: THE MOST PEOPLE IN [MY COMMUNITY] WILL IMPLEMENT THE RULES AND REGULATIONS OF [OUR FISHERY], INCLUDING THE COMMUNICATION OF VIOLATIONS WHEN TESTIFIED; Response: 1-10 scale of agreement with statement, 10 best; 3: [Question: IN A GENERAL WAY I TRUST THE MOST PEOPLE IN [MY COMMUNITY]; Response: With statement: strongly agree, agree, indifferent, disagree, strongly disagree"
Brazil,PIRAJUB,Community Support,Knowledge,3,1: [Question: 21-Do you know what community fisheries surveillance is?; Response: [ ] Yes [ ] No [ ] No Answer; 2: [Question: 22-Do you know the results of Gravel Cleaning?; Response: [ ] Yes [ ] No [ ] No Answer; 3: [Question: 23-Do you know what to do to take care of the cockles?; Response: [ ] Yes [ ] No [ ] No Answer
Brazil,PIRAJUB,Sustainable Fishing Practices,Management Participation,2,1: [Question: 44-Do you participate in or attend meetings to review Portaria 187?; Response: [ ] Yes [ ] No [ ] No Answer; 2: [Question: Participate in Resex activity last 12 months?; Response: [ ] Yes [ ] No [ ] No Answer
Brazil,PIRAJUB,Sustainable Livelihoods,Livelihood Stability,2,"1: [Question: It is EASY FOR ME AND MEMBERS OF MY FAMILY TO FIND EMPLOYMENT TO SUSTAIN THE FAMILY; Response: With statement: strongly agree, agree, indifferent, disagree, strongly disagree; 2: [Question: 46- Compared to 5 years ago, the quality and stability of employment for the family:; Response: improved, improved somewhat, remained the same, worsened somewhat, worsened"
Brazil,PIRAJUB,Sustainable Livelihoods,Political Trust,2,"1: [Question: I am confident that the Deliberative Council will make the right decisions on how to manage [our fisheries].; Response: 1-10 scale of agreement with statement, 10 best; 2: [Question: Generally, WE HAVE CONFIDENCE THAT THE ICMBIO CAN TAKE DECISIONS FOR BETTER INTEREST OF [OUR COMMUNITY]; Response: 1-5 scale of agreement with statement, 5 best"
Brazil,PIRAJUB,Sustainable Livelihoods,Social Trust,3,"1: [Question: MOST PEOPLE IN [MY COMMUNITY] WILL FOLLOW THE RULES AND REGULATIONS ESTABLISHED FOR [THE FISHING COMMUNITY]; Response: 1-10 scale of agreement with statement, 10 best; 2: [Question: THE MOST PEOPLE IN [MY COMMUNITY] WILL IMPLEMENT THE RULES AND REGULATIONS OF [OUR FISHERY], INCLUDING THE COMMUNICATION OF VIOLATIONS WHEN TESTIFIED; Response: 1-10 scale of agreement with statement, 10 best; 3: [Question: IN A GENERAL WAY I TRUST THE MOST PEOPLE IN [MY COMMUNITY]; Response: With statement: strongly agree, agree, indifferent, disagree, strongly disagree"
Indonesia,ANAMBAS,Community Support,Attitude,10,"1: [Question: (14) ÿÿ9For me, obey the rules of access management of the fishery areaÿÿ1 ) can not be done because there is no firmness against rule violators; Response: [] Agree [] Disagree [] Do not know; 2: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (A) is a form of responsibility as a fisherman in the region; Response: [] Agree [] Disagree [] Do not know; 3: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (B) ensuring the continuation of my family's life in the future; Response: [] Agree [] Disagree [] Do not know; 4: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (C) maintaining the availability of fish and other marine resources for a long time; Response: [] Agree [] Disagree [] Do not know; 5: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (D) preserves the traditions of life as fishermen from generation to generation; Response: [] Agree [] Disagree [] Do not know; 6: [Question: (12) For me,(B) complies with the rules of access management of the fishing area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 7: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (A) not to fish in the no-take area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 8: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (C) engage in processes and discussions for the management rules of the fishery area access; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 9: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (E) report a violation of the rules in the area of access of the fishery area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 10: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (D) report the catch; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult"
Indonesia,ANAMBAS,Community Support,Communication,4,"1: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (13) In the last 6 months, Mr / Ms spoke with other fishermen about: (B) compliance with applicable agreements within the territory of the fishery access area; Response: [] Yes [] No [] Do not remember; 2: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (11) In the last 6 months, I talked with fellow fishermen about: (A) benefits gained from the management of the fishery area access; Response: [] Yes [] No [] Do not remember; 3: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (11) In the last 6 months, I talked with fellow fishermen about: (C) ways of monitoring and reporting violations of rules in the area of access of the fishing area; Response: [] Yes [] No [] Do not remember; 4: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement.(12) For me,(F) invites fellow fishermen to comply with the management rules of fisheries area access; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult"
Indonesia,ANAMBAS,Community Support,Knowledge,4,"1: [Question: (19) For the following statement, please choose the one that best describes you right now; Response: [] I do not know the rules about the size of the catch in the area of ​​access area and do not think to find out [] I do not know the catch size rules in the area of ​​access area but in the near future it is thought to find out [] I already know the size of the catch allowed in the region Access area and in the near future think to do it [] I have caught fish with the size of fish catch according to the rules in the area of ​​access area, and have been doing it for less than 6 months [] I have captured the size of the fish according to the rules of area access area and have done it in 6 Months or more; 2: [Question: (18) For the following statement, please choose the one that best describes you right now; Response: [] I do not know the rules about fishing gear allowed in the area of ​​access area and do not think to find out [] I do not know the rules of fishing gear are allowed in the area of ​​access area but in the near future thought to find out [] I already know fishing gear Which is allowed in the area of ​​access area and in the near future it is thought to do it [] I have been using the type of fishing gear according to the rules in the area of ​​access area, for less than 6 months [] I have used the type of fishing gear that match the rules of area access area, 6 months or more; 3: [Question: (A) Based on the location of the above mentioned fishing / fowl, please Mr / Mrs choose the statement that best describes you right now; Response: [] I do not know the designation rules for this area and do not think to find out [] I do not know the designation rules for this area but have been thinking about finding out [] I am not implementing the designation rules for this area but in the near future I think to do it [] I have followed the designation rules for this area, but only implemented it for less than 6 months [] I have followed the rules of the designation of this area and have done so in 6 months or more; 4: [Question: (20) For the following statement, please choose the one that best describes you right now; Response: [] I have never been involved in surveillance of the territory of the fisheries access area and have not thought of doing it [] I have never been involved in surveillance of area access areas and thought to find out [] I was thinking of being involved in the monitoring of area access areas, in the near future [] I Has been involved in the supervision of area access areas, less than 6 months [] I have been involved in the supervision of the area of ​​access to the fishing area, within 6 months or more"
Indonesia,ANAMBAS,Sustainable Fishing Practices,TURF Compliance,2,"1: [Question: Here's what you want to do, 'Somewhat sure to be able to do', 'Doubtful', 'Somewhat unsure of being able to do', 'Unsure able to do' the following statements.(15) ÿÿ9 I feel, ÿÿ1 (B) catch fish according to the rules in the area of ​​fishery access area; Response: [] Sure able to do [] Somewhat sure able to do [] Hesitant [] Somewhat unsure able to do [] Not sure able to do; 2: [Question: Here's what you want to do, 'Somewhat sure to be able to do', 'Doubtful', 'Somewhat unsure of being able to do', 'Unsure able to do' the following statements.(15) ÿÿ9 I feel, ÿÿ1 (C) using the type of fishing gear permitted in the area of ​​fishery access area; Response: [] Sure able to do [] Somewhat sure able to do [] Hesitant [] Somewhat unsure able to do [] Not sure able to do"
Indonesia,BANDAMP,Community Support,Attitude,10,"1: [Question: (14) ÿÿ9For me, obey the rules of access management of the fishery areaÿÿ1 ) can not be done because there is no firmness against rule violators; Response: [] Agree [] Disagree [] Do not know; 2: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (A) is a form of responsibility as a fisherman in the region; Response: [] Agree [] Disagree [] Do not know; 3: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (B) ensuring the continuation of my family's life in the future; Response: [] Agree [] Disagree [] Do not know; 4: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (C) maintaining the availability of fish and other marine resources for a long time; Response: [] Agree [] Disagree [] Do not know; 5: [Question: Here, please Mr / Mrs declare whether 'Agreed', 'Disagree', 'Do not know' to the statement below; (13) For me, obey the rules of fishery area access management (D) preserves the traditions of life as fishermen from generation to generation; Response: [] Agree [] Disagree [] Do not know; 6: [Question: (12) For me,(B) complies with the rules of access management of the fishing area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 7: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (A) not to fish in the no-take area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 8: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (C) engage in processes and discussions for the management rules of the fishery area access; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 9: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (E) report a violation of the rules in the area of access of the fishery area; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 10: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement; (12) For me, (D) report the catch; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult"
Indonesia,BANDAMP,Community Support,Communication,4,"1: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (13) In the last 6 months, Mr / Ms spoke with other fishermen about: (B) compliance with applicable agreements within the territory of the fishery access area; Response: [] Yes [] No [] Do not remember; 2: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (11) In the last 6 months, I talked with fellow fishermen about: (A) benefits gained from the management of the fishery area access; Response: [] Yes [] No [] Do not remember; 3: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (11) In the last 6 months, I talked with fellow fishermen about: (C) ways of monitoring and reporting violations of rules in the area of access of the fishing area; Response: [] Yes [] No [] Do not remember; 4: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement.(12) For me,(F) invites fellow fishermen to comply with the management rules of fisheries area access; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult"
Indonesia,BANDAMP,Community Support,Knowledge,4,"1: [Question: (19) For the following statement, please choose the one that best describes you right now; Response: [] I do not know the rules about the size of the catch in the area of ​​access area and do not think to find out [] I do not know the catch size rules in the area of ​​access area but in the near future it is thought to find out [] I already know the size of the catch allowed in the region Access area and in the near future think to do it [] I have caught fish with the size of fish catch according to the rules in the area of ​​access area, and have been doing it for less than 6 months [] I have captured the size of the fish according to the rules of area access area and have done it in 6 Months or more; 2: [Question: (18) For the following statement, please choose the one that best describes you right now; Response: [] I do not know the rules about fishing gear allowed in the area of ​​access area and do not think to find out [] I do not know the rules of fishing gear are allowed in the area of ​​access area but in the near future thought to find out [] I already know fishing gear Which is allowed in the area of ​​access area and in the near future it is thought to do it [] I have been using the type of fishing gear according to the rules in the area of ​​access area, for less than 6 months [] I have used the type of fishing gear that match the rules of area access area, 6 months or more; 3: [Question: (A) Based on the location of the above mentioned fishing / fowl, please Mr / Mrs choose the statement that best describes you right now; Response: [] I do not know the designation rules for this area and do not think to find out [] I do not know the designation rules for this area but have been thinking about finding out [] I am not implementing the designation rules for this area but in the near future I think to do it [] I have followed the designation rules for this area, but only implemented it for less than 6 months [] I have followed the rules of the designation of this area and have done so in 6 months or more; 4: [Question: (20) For the following statement, please choose the one that best describes you right now; Response: [] I have never been involved in surveillance of the territory of the fisheries access area and have not thought of doing it [] I have never been involved in surveillance of area access areas and thought to find out [] I was thinking of being involved in the monitoring of area access areas, in the near future [] I Has been involved in the supervision of area access areas, less than 6 months [] I have been involved in the supervision of the area of ​​access to the fishing area, within 6 months or more"
Indonesia,BANDAMP,Sustainable Fishing Practices,TURF Compliance,2,"1: [Question: Here's what you want to do, 'Somewhat sure to be able to do', 'Doubtful', 'Somewhat unsure of being able to do', 'Unsure able to do' the following statements.(15) ÿÿ9 I feel, ÿÿ1 (B) catch fish according to the rules in the area of ​​fishery access area; Response: [] Sure able to do [] Somewhat sure able to do [] Hesitant [] Somewhat unsure able to do [] Not sure able to do; 2: [Question: Here's what you want to do, 'Somewhat sure to be able to do', 'Doubtful', 'Somewhat unsure of being able to do', 'Unsure able to do' the following statements.(15) ÿÿ9 I feel, ÿÿ1 (C) using the type of fishing gear permitted in the area of ​​fishery access area; Response: [] Sure able to do [] Somewhat sure able to do [] Hesitant [] Somewhat unsure able to do [] Not sure able to do"
